0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:29:03 +0900] "GET /JS/event/crossEvent.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:29:21 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:29:21 +0900] "GET /JS/event/crossEvent.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:30:23 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:30:23 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:30:23 +0900] "GET /JS/event/crossEvent.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:30:42 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:30:42 +0900] "GET /JS/event/crossEvent.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:32:39 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:32:39 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:33:25 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:39:43 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:39:43 +0900] "GET /JS/event/cross.js HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:39:57 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:39:57 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:40:19 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:40:19 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:40:32 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:40:32 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:40:55 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:40:55 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:41:09 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:41:09 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:41:22 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:41:22 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:41:31 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:41:50 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:41:50 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:42:13 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:42:13 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:42:20 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:42:30 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:42:30 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:42:30 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:42:40 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:42:40 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:42:41 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:42:41 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:42:54 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:42:54 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:43:14 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:43:14 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:43:15 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:44:05 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:44:05 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:44:19 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:44:29 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:44:46 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:44:46 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:44:53 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:46:24 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:46:24 +0900] "GET /JS/event/cross.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:46:35 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [22/Feb/2023:11:46:47 +0900] "GET /JS/event/e_exam02.html HTTP/1.1" 200 1084
